iter	Passed	Remaining
399	45289	294382
400	45404	294278
401	45520	294184
402	45638	294100
403	45740	293919
404	45838	293708
405	45937	293503
406	46043	293345
407	46148	293177
408	46263	293078
409	46385	293023
410	46500	292920
411	46625	292880
412	46758	292890
413	46885	292865
414	46997	292746
415	47129	292744
416	47239	292613
417	47348	292473
418	47483	292495
419	47598	292392
420	47678	292070
421	47801	292019
422	47903	291837
423	48036	291846
424	48129	291609
425	48237	291461
426	48372	291480
427	48481	291344
428	48600	291265
429	48710	291130
430	48808	290924
431	48898	290674
432	49000	290492
433	49085	290217
434	49186	290032
435	49275	289775
436	49377	289596
437	49471	289373
438	49562	289133
439	49677	289030
440	49804	289000
441	49904	288816
442	49996	288580
443	50102	288425
444	50233	288421
445	50368	288431
446	50516	288520
447	50631	288417
448	50750	288337
449	50839	288090
450	50967	288062
451	51074	287913
452	51171	287710
453	51282	287586
454	51390	287447
455	51488	287249
456	51587	287062
457	51698	286939
458	51821	286878
459	51933	286764
460	52033	286581
461	52146	286465
462	52245	286275
463	52344	286090
464	52446	285918
465	52564	285833
466	52663	285644
467	52776	285531
468	52858	285257
469	52985	285220
470	53082	285021
471	53189	284879
472	53303	284772
473	53383	284488
474	53488	284333
475	53614	284289
476	53715	284118
477	53829	284011
478	53955	283971
479	54079	283915
480	54210	283900
481	54318	283763
482	54435	283670
483	54545	283546
484	54634	283311
485	54729	283104
486	54853	283054
487	54989	283060
488	55105	282962
489	55201	282766
490	55297	282568
491	55414	282477
492	55524	282351
493	55616	282136
494	55742	282088
495	55860	282005
496	55996	282013
497	56106	281886
498	56214	281750
499	56313	281568
500	56415	281402
501	56513	281214
502	56609	281022
503	56695	280776
504	56799	280623
505	56896	280433
506	56996	280262
507	57094	280076
508	57209	279978
509	57321	279861
510	57439	279780
511	57558	279697
512	57673	279598
513	57791	279513
514	57901	279386
515	58013	279273
516	58103	279052
517	58223	278976
518	58340	278887
519	58460	278813
520	58578	278723
521	58695	278636
522	58792	278449
523	58904	278333
524	59008	278183
525	59120	278068
526	59239	277986
527	59332	277783
528	59421	277564
529	59525	277411
530	59610	277171
531	59740	277140
532	59856	277047
533	59953	276862
534	60059	276722
535	60151	276518
536	60257	276375
537	60352	276187
538	60463	276066
539	60587	276008
540	60685	275830
541	60809	275775
542	60932	275711
543	61053	275639
544	61170	275546
545	61289	275467
546	61402	275357
547	61503	275192
548	61608	275049
549	61719	274933
550	61824	274790
551	61914	274577
552	62013	274408
553	62125	274293
554	62211	274065
555	62327	273972
556	62438	273855
557	62539	273693
558	62635	273510
559	62756	273439
560	62876	273362
561	62988	273250
562	63107	273165
563	63199	272967
564	63319	272891
565	63449	272853
566	63541	272655
567	63665	272594
568	63797	272569
569	63916	272486
570	64037	272411
571	64139	272257
572	64244	272112
573	64339	271928
574	64447	271798
575	64536	271590
576	64636	271428
577	64736	271266
578	64852	271171
579	64958	271033
580	65061	270883
581	65175	270780
582	65279	270636
583	65359	270392
584	65472	270284
585	65578	270147
586	65668	269943
587	65763	269762
588	65876	269658
589	65998	269587
590	66095	269415
591	66204	269293
592	66314	269171
593	66415	269014
594	66499	268793
595	66615	268696
596	66695	268458
597	66790	268280
598	66868	268033
599	66978	267912
600	67063	267696
601	67153	267499
602	67260	267369
603	67352	267178
604	67469	267089
605	67575	266955
606	67690	266857
607	67777	266652
608	67868	266458
609	67961	266275
610	68075	266172
611	68174	266015
612	68275	265860
613	68392	265771
614	68502	265657
615	68626	265592
616	68741	265497
617	68857	265401
618	68976	265320
619	69091	265224
620	69184	265040
621	69321	265027
622	69451	264986
623	69590	264980
624	69728	264967
625	69832	264826
626	69923	264637
627	70020	264471
628	70114	264294
629	70228	264193
630	70314	263984
631	70432	263900
632	70545	263792
633	70626	263566
634	70740	263466
635	70858	263380
636	70975	263287
637	71110	263265
638	71224	263163
639	71309	262955
640	71436	262901
641	71562	262841
642	71687	262778
643	71793	262646
644	71907	262547
645	72028	262468
646	72141	262364
647	72243	262215
648	72346	262075
649	72459	261970
650	72557	261810
651	72666	261688
652	72790	261622
653	72928	261605
654	73059	261565
655	73188	261515
656	73307	261431
657	73423	261335
658	73522	261178
659	73619	261013
660	73734	260916
661	73850	260819
662	73951	260671
663	74053	260524
664	74153	260372
665	74289	260348
666	74398	260226
667	74502	260088
668	74599	259926
669	74713	259823
670	74811	259664
671	74904	259490
672	74995	259307
673	75104	259187
674	75199	259021
675	75311	258910
676	75418	258785
677	75559	258773
678	75668	258655
679	75809	258642
680	75928	258559
681	76056	258501
682	76181	258436
683	76293	258328
684	76406	258220
685	76542	258192
686	76648	258061
687	76770	257984
688	76895	257916
689	77037	257907
690	77160	257834
691	77254	257663
692	77344	257480
693	77437	257306
694	77544	257180
695	77642	257024
696	77738	256859
697	77851	256754
698	77948	256594
699	78037	256407
700	78146	256288
701	78275	256236
702	78379	256099
703	78473	255929
704	78574	255784
705	78653	255569
706	78767	255463
707	78882	255365
708	78997	255265
709	79094	255107
710	79195	254964
711	79318	254887
712	79434	254793
713	79546	254683
714	79637	254505
715	79752	254405
716	79855	254266
717	79965	254152
718	80065	254004
719	80179	253902
720	80280	253756
721	80392	253647
722	80502	253532
723	80594	253360
724	80683	253178
725	80816	253134
726	80916	252989
727	81044	252930
728	81140	252772
729	81228	252588
730	81345	252492
731	81463	252403
732	81547	252208
733	81664	252114
734	81773	251994
735	81863	251819
736	81953	251643
737	82053	251498
738	82168	251397
739	82278	251281
740	82373	251121
741	82485	251012
742	82586	250870
743	82694	250751
744	82795	250609
745	82906	250496
746	82997	250325
747	83121	250252
748	83238	250158
749	83357	250071
750	83465	249950
751	83581	249854
752	83693	249747
753	83790	249594
754	83872	249394
755	83997	249327
756	84104	249203
757	84200	249045
758	84284	248857
759	84397	248751
760	84519	248671
761	84622	248536
762	84757	248495
763	84891	248452
764	85023	248403
765	85122	248254
766	85245	248179
767	85364	248091
768	85462	247940
769	85574	247832
770	85682	247712
771	85798	247616
772	85902	247484
773	86003	247343
774	86097	247183
775	86225	247121
776	86354	247061
777	86463	246942
778	86555	246778
779	86683	246715
780	86790	246591
781	86933	246571
782	87062	246510
783	87179	246415
784	87285	246290
785	87418	246240
786	87542	246163
787	87642	246021
788	87739	245869
789	87819	245672
790	87923	245540
791	88055	245488
792	88167	245378
793	88298	245322
794	88426	245257
795	88559	245206
796	88687	245141
797	88794	245019
798	88905	244906
799	88999	244748
800	89106	244627
801	89205	244482
802	89319	244378
803	89403	244192
804	89507	244059
805	89589	243869
806	89695	243743
807	89808	243640
808	89933	243563
809	90028	243409
810	90147	243320
811	90265	243227
812	90370	243099
813	90490	243013
814	90629	242976
815	90721	242812
816	90830	242697
817	90921	242530
818	91012	242367
819	91140	242299
820	91229	242130
821	91320	241964
822	91432	241856
823	91525	241698
824	91639	241595
825	91750	241482
826	91840	241317
827	91932	241157
828	92036	241027
829	92165	240962
830	92269	240833
831	92357	240661
832	92450	240503
833	92543	240346
834	92646	240215
835	92763	240119
836	92877	240017
837	92972	239863
838	93066	239710
839	93181	239610
840	93285	239481
841	93404	239390
842	93506	239256
843	93639	239202
844	93765	239130
845	93888	239048
846	94011	238967
847	94097	238794
848	94193	238646
849	94306	238539
850	94419	238433
851	94508	238266
852	94620	238160
853	94737	238063
854	94858	237978
855	94992	237925
856	95127	237874
857	95246	237784
858	95345	237642
859	95477	237582
860	95601	237504
861	95717	237405
862	95835	237312
863	95946	237202
864	96070	237121
865	96176	236998
866	96277	236861
867	96403	236787
868	96503	236650
869	96627	236570
870	96725	236427
871	96834	236311
872	96947	236204
873	97030	236025
874	97144	235921
875	97281	235875
876	97392	235763
877	97493	235627
878	97597	235500
879	97725	235428
880	97855	235364
881	97970	235262
882	98060	235101
883	98179	235008
884	98276	234863
885	98396	234775
886	98524	234704
887	98620	234557
888	98739	234465
889	98900	234471
890	98988	234304
891	99102	234202
892	99209	234081
893	99321	233971
894	99419	233830
895	99521	233696
896	99650	233629
897	99776	233553
898	99908	233490
899	100024	233390
900	100134	233277
901	100261	233202
902	100376	233100
903	100495	233006
904	100608	232900
905	100721	232792
906	100837	232694
907	100948	232581
908	101049	232447
909	101168	232353
910	101246	232166
911	101359	232059
912	101473	231954
913	101578	231831
914	101705	231755
915	101800	231606
916	101924	231525
917	102056	231460
918	102164	231342
919	102280	231242
920	102403	231158
921	102522	231065
922	102657	231006
923	102762	230882
924	102879	230783
925	103007	230709
926	103121	230604
927	103238	230505
928	103348	230393
929	103449	230259
930	103546	230115
931	103640	229966
932	103762	229878
933	103888	229799
934	103996	229681
935	104122	229603
936	104228	229480
937	104326	229341
938	104418	229187
939	104541	229101
940	104675	229040
941	104790	228937
942	104919	228865
943	105023	228738
944	105133	228623
945	105243	228509
946	105324	228333
947	105451	228256
948	105577	228176
949	105687	228062
950	105769	227888
951	105869	227753
952	105979	227638
953	106104	227557
954	106214	227443
955	106299	227277
956	106409	227163
957	106529	227069
958	106658	226996
959	106771	226888
960	106881	226774
961	106979	226635
962	107097	226538
963	107201	226414
964	107317	226311
965	107421	226184
966	107553	226119
967	107681	226043
968	107812	225972
969	107914	225841
970	108032	225743
971	108144	225634
972	108245	225502
973	108357	225392
974	108470	225284
975	108583	225176
976	108717	225113
977	108840	225025
978	108953	224918
979	109065	224807
980	109163	224669
981	109264	224537
982	109353	224380
983	109465	224269
984	109545	224096
985	109664	223999
986	109769	223876
987	109883	223770
988	109969	223608
989	110098	223533
990	110227	223457
991	110311	223291
992	110417	223169
993	110504	223010
994	110618	222903
995	110706	222745
996	110840	222681
997	110946	222559
998	111057	222449
999	111156	222312
1000	111251	222170
1001	111354	222042
1002	111465	221930
1003	111582	221831
1004	111702	221738
1005	111822	221644
1006	111950	221565
1007	112088	221508
1008	112189	221375
1009	112293	221251
1010	112427	221184
1011	112531	221059
1012	112640	220944
1013	112753	220837
1014	112855	220706
1015	112971	220604
1016	113093	220514
1017	113216	220427
1018	113344	220349
1019	113437	220202
1020	113542	220079
1021	113635	219933
1022	113737	219804
1023	113840	219675
1024	113956	219575
1025	114082	219491
1026	114190	219374
1027	114319	219298
1028	114456	219235
1029	114590	219168
1030	114701	219056
1031	114811	218942
1032	114922	218831
1033	115035	218722
1034	115116	218555
1035	115218	218425
1036	115323	218303
1037	115447	218215
1038	115546	218081
1039	115652	217961
1040	115769	217860
1041	115899	217784
1042	116021	217692
1043	116128	217573
1044	116240	217463
1045	116360	217368
1046	116475	217265
1047	116579	217140
1048	116666	216984
1049	116775	216869
1050	116896	216775
1051	117004	216659
1052	117113	216543
1053	117209	216404
1054	117338	216326
1055	117466	216244
1056	117598	216172
1057	117723	216085
1058	117848	215999
1059	117973	215913
1060	118109	215847
1061	118236	215764
1062	118351	215660
1063	118458	215540
1064	118569	215429
1065	118655	215271
1066	118761	215150
1067	118871	215037
1068	118968	214900
1069	119082	214794
1070	119196	214687
1071	119301	214565
1072	119402	214435
1073	119511	214319
1074	119616	214197
1075	119731	214092
1076	119857	214007
1077	119949	213861
1078	120074	213775
1079	120196	213683
1080	120314	213582
1081	120429	213477
1082	120542	213369
1083	120671	213290
1084	120788	213189
1085	120876	213035
1086	120982	212916
1087	121093	212803
1088	121215	212711
1089	121357	212653
1090	121466	212537
1091	121572	212417
1092	121679	212298
1093	121788	212183
1094	121873	212027
1095	121971	211891
1096	122101	211814
1097	122218	211711
1098	122326	211595
1099	122431	211473
1100	122548	211371
1101	122641	211227
1102	122738	211092
1103	122851	210984
1104	122956	210862
1105	123080	210771
1106	123214	210700
1107	123312	210566
1108	123391	210399
1109	123508	210298
1110	123625	210196
1111	123734	210081
1112	123821	209929
1113	123932	209817
1114	124030	209684
1115	124159	209602
1116	124282	209510
1117	124394	209401
1118	124499	209279
1119	124614	209174
1120	124722	209057
1121	124827	208936
1122	124940	208827
1123	125056	208723
1124	125142	208570
1125	125259	208469
1126	125349	208322
1127	125468	208223
1128	125577	208109
1129	125686	207994
1130	125795	207879
1131	125904	207763
1132	126013	207649
1133	126126	207541
1134	126229	207416
1135	126342	207309
1136	126455	207199
1137	126550	207061
1138	126660	206949
1139	126771	206836
1140	126864	206697
1141	126969	206576
1142	127075	206456
1143	127186	206343
1144	127289	206220
1145	127395	206101
1146	127504	205986
1147	127554	205776
1148	127661	205658
1149	127778	205557
1150	127890	205447
1151	127987	205313
1152	128101	205206
1153	128219	205105
1154	128309	204961
1155	128432	204869
1156	128550	204770
1157	128595	204553
1158	128703	204436
1159	128805	204312
1160	128915	204200
1161	129024	204085
1162	129149	203996
1163	129276	203910
1164	129379	203787
1165	129500	203691
1166	129616	203587
1167	129734	203488
1168	129849	203382
1169	129971	203288
1170	130081	203176
1171	130190	203061
1172	130291	202935
1173	130406	202830
1174	130499	202690
1175	130604	202570
1176	130690	202420
1177	130798	202304
1178	130908	202192
1179	131013	202071
1180	131132	201972
1181	131240	201856
1182	131348	201741
1183	131478	201660
1184	131589	201548
1185	131707	201448
1186	131805	201317
1187	131921	201213
1188	132026	201093
1189	132131	200973
1190	132214	200819
1191	132322	200703
1192	132451	200620
1193	132565	200513
1194	132679	200407
1195	132787	200290
1196	132902	200186
1197	133007	200065
1198	133111	199944
1199	133229	199844
1200	133338	199729
1201	133428	199588
1202	133525	199455
1203	133634	199342
1204	133742	199225
1205	133847	199105
1206	133951	198985
1207	134056	198864
1208	134154	198734
1209	134271	198632
1210	134381	198521
1211	134487	198402
1212	134569	198248
1213	134682	198140
1214	134787	198021
1215	134897	197909
1216	135007	197796
1217	135107	197669
1218	135220	197562
1219	135326	197442
1220	135442	197339
1221	135562	197242
1222	135657	197107
1223	135750	196971
1224	135849	196843
1225	135950	196718
1226	136061	196606
1227	136165	196486
1228	136266	196361
1229	136360	196225
1230	136472	196116
1231	136591	196017
1232	136699	195902
1233	136818	195804
1234	136941	195709
1235	137047	195592
1236	137170	195498
1237	137275	195379
1238	137391	195275
1239	137516	195184
1240	137627	195073
1241	137704	194915
1242	137813	194801
1243	137922	194688
1244	138072	194631
1245	138174	194508
1246	138279	194389
1247	138386	194273
1248	138484	194145
1249	138590	194026
1250	138727	193952
1251	138846	193852
1252	138974	193766
1253	139102	193678
1254	139220	193577
1255	139332	193468
1256	139435	193345
1257	139493	193161
1258	139597	193041
1259	139710	192933
1260	139824	192826
1261	139946	192731
1262	140067	192633
1263	140175	192519
1264	140294	192419
1265	140421	192330
1266	140530	192217
1267	140651	192120
1268	140750	191993
1269	140858	191878
1270	140977	191778
1271	141087	191665
1272	141197	191553
1273	141308	191442
1274	141398	191303
1275	141509	191193
1276	141623	191086
1277	141728	190967
1278	141856	190880
1279	141947	190742
1280	142060	190634
1281	142171	190522
1282	142273	190400
1283	142379	190283
1284	142490	190172
1285	142610	190073
1286	142738	189985
1287	142849	189874
1288	142957	189760
1289	143070	189651
1290	143192	189555
1291	143309	189452
1292	143430	189354
1293	143549	189254
1294	143661	189144
1295	143784	189050
1296	143918	188969
1297	144041	188874
1298	144160	188774
1299	144275	188667
1300	144399	188574
1301	144503	188453
1302	144624	188356
1303	144748	188261
1304	144857	188148
1305	144988	188063
1306	145097	187949
1307	145228	187864
1308	145333	187745
1309	145440	187629
1310	145565	187536
1311	145655	187397
1312	145768	187289
1313	145868	187164
1314	145999	187078
1315	146112	186970
1316	146230	186868
1317	146348	186766
1318	146474	186675
1319	146590	186569
1320	146714	186475
1321	146814	186349
1322	146925	186239
1323	147043	186136
1324	147146	186015
1325	147261	185909
1326	147384	185813
1327	147493	185699
1328	147618	185606
1329	147743	185512
1330	147860	185408
1331	147970	185296
1332	148089	185195
1333	148211	185097
1334	148344	185014
1335	148449	184895
1336	148574	184801
1337	148694	184700
1338	148819	184606
1339	148941	184509
1340	149060	184407
1341	149174	184301
1342	149310	184219
1343	149435	184125
1344	149532	183997
1345	149646	183889
1346	149780	183806
1347	149900	183706
1348	150012	183596
1349	150133	183496
1350	150234	183372
1351	150351	183268
1352	150482	183181
1353	150577	183051
1354	150686	182937
1355	150822	182855
1356	150946	182759
1357	151039	182626
1358	151175	182545
1359	151302	182452
1360	151424	182355
1361	151536	182244
1362	151650	182136
1363	151741	182000
1364	151845	181880
1365	151956	181769
1366	152091	181686
1367	152194	181565
1368	152287	181432
1369	152404	181328
1370	152527	181231
1371	152637	181118
1372	152762	181023
1373	152875	180913
1374	152995	180812
1375	153104	180699
1376	153230	180605
1377	153326	180475
1378	153450	180379
1379	153560	180266
1380	153678	180163
1381	153799	180063
1382	153919	179962
1383	154029	179849
1384	154140	179737
1385	154244	179618
1386	154368	179521
1387	154478	179409
1388	154600	179309
1389	154720	179208
1390	154836	179102
1391	154956	179001
1392	155089	178914
1393	155220	178826
1394	155351	178738
1395	155474	178640
1396	155592	178535
1397	155715	178437
1398	155838	178340
1399	155956	178235
1400	156071	178128
1401	156181	178015
1402	156314	177928
1403	156439	177833
1404	156558	177729
1405	156670	177619
1406	156791	177518
1407	156917	177424
1408	157026	177309
1409	157152	177213
1410	157283	177125
1411	157391	177010
1412	157510	176906
1413	157622	176795
1414	157740	176691
1415	157859	176589
1416	157977	176484
1417	158090	176374
1418	158209	176271
1419	158332	176172
1420	158445	176063
1421	158541	175934
1422	158646	175815
1423	158752	175698
1424	158880	175604
1425	158981	175482
1426	159094	175371
1427	159216	175272
1428	159338	175172
1429	159447	175057
1430	159586	174975
1431	159717	174886
1432	159844	174791
1433	159947	174670
1434	160067	174568
1435	160189	174467
1436	160309	174365
1437	160434	174269
1438	160551	174162
1439	160667	174056
1440	160777	173943
1441	160901	173844
1442	161003	173722
1443	161132	173630
1444	161252	173527
1445	161380	173433
1446	161504	173335
1447	161627	173235
1448	161756	173142
1449	161886	173051
1450	161997	172938
1451	162091	172808
1452	162200	172694
1453	162320	172590
1454	162448	172496
1455	162572	172398
1456	162698	172301
1457	162811	172191
1458	162931	172089
1459	163040	171974
1460	163155	171866
1461	163273	171761
1462	163401	171666
1463	163521	171563
1464	163644	171463
1465	163759	171355
1466	163887	171261
1467	164018	171169
1468	164152	171081
1469	164267	170972
1470	164382	170864
1471	164476	170733
1472	164568	170601
1473	164693	170503
1474	164808	170394
1475	164920	170283
1476	165014	170153
1477	165112	170027
1478	165233	169925
1479	165352	169821
1480	165470	169715
1481	165593	169616
1482	165696	169494
1483	165814	169390
1484	165947	169299
1485	166084	169214
1486	166204	169110
1487	166306	168988
1488	166418	168877
1489	166526	168761
1490	166637	168648
1491	166739	168528
1492	166831	168395
1493	166935	168275
1494	167052	168169
1495	167179	168073
1496	167290	167961
1497	167413	167860
1498	167507	167730
1499	167620	167620
1500	167747	167524
1501	167867	167419
1502	167991	167320
1503	168111	167217
1504	168235	167117
1505	168362	167020
1506	168478	166913
1507	168585	166796
1508	168714	166701
1509	168850	166614
1510	168976	166515
1511	169071	166388
1512	169190	166282
1513	169316	166185
1514	169435	166080
1515	169554	165975
1516	169677	165874
1517	169803	165776
1518	169905	165655
1519	170024	165549
1520	170128	165430
1521	170235	165314
1522	170338	165193
1523	170459	165090
1524	170564	164972
1525	170668	164852
1526	170787	164747
1527	170907	164644
1528	171016	164528
1529	171136	164425
1530	171273	164337
1531	171398	164238
1532	171518	164134
1533	171615	164008
1534	171725	163894
1535	171841	163786
1536	171966	163686
1537	172081	163578
1538	172205	163477
1539	172319	163367
1540	172422	163247
1541	172542	163142
1542	172662	163039
1543	172790	162942
1544	172896	162824
1545	173018	162722
1546	173136	162616
1547	173265	162520
1548	173383	162413
1549	173489	162296
1550	173602	162185
1551	173712	162071
1552	173811	161947
1553	173928	161840
1554	174049	161737
1555	174163	161626
1556	174264	161504
1557	174383	161399
1558	174508	161299
1559	174621	161189
1560	174746	161089
1561	174865	160983
1562	174981	160875
1563	175098	160768
1564	175217	160662
1565	175349	160568
1566	175458	160454
1567	175565	160337
1568	175682	160230
1569	175809	160132
1570	175926	160024
1571	176041	159915
1572	176160	159809
1573	176285	159709
1574	176408	159607
1575	176525	159500
1576	176637	159388
1577	176754	159280
1578	176881	159182
1579	177004	159079
1580	177129	158980
1581	177247	158872
1582	177375	158774
1583	177482	158658
1584	177601	158553
1585	177721	158447
1586	177817	158321
1587	177937	158216
1588	178062	158116
1589	178182	158010
1590	178281	157887
1591	178392	157774
1592	178515	157671
1593	178628	157561
1594	178739	157447
1595	178864	157346
1596	178984	157241
1597	179102	157134
1598	179209	157018
1599	179334	156918
1600	179451	156810
1601	179576	156709
1602	179701	156608
1603	179832	156512
1604	179972	156424
1605	180073	156303
1606	180197	156200
1607	180320	156098
1608	180440	155992
1609	180558	155886
1610	180679	155781
1611	180794	155671
1612	180933	155582
1613	181050	155474
1614	181147	155348
1615	181267	155243
1616	181391	155141
1617	181483	155012
1618	181580	154887
1619	181690	154773
1620	181816	154672
1621	181921	154554
1622	182050	154457
1623	182164	154346
1624	182298	154252
1625	182418	154146
1626	182537	154040
1627	182651	153930
1628	182775	153828
1629	182899	153725
1630	183019	153619
1631	183140	153515
1632	183261	153410
1633	183376	153300
1634	183500	153197
1635	183620	153092
1636	183734	152981
1637	183855	152876
1638	183979	152773
1639	184086	152656
1640	184193	152540
1641	184318	152439
1642	184436	152331
1643	184550	152220
1644	184672	152116
1645	184779	151999
1646	184897	151892
1647	185015	151784
1648	185139	151681
1649	185261	151577
1650	185380	151470
1651	185499	151364
1652	185614	151253
1653	185727	151141
1654	185852	151040
1655	185970	150932
1656	186095	150830
1657	186215	150724
1658	186348	150628
1659	186465	150520
1660	186602	150427
1661	186713	150314
1662	186777	150163
